date,tax,indemnity
201004,23820000000,8871981429.9
201101,8946928193.2,2120604830.3
201102,24257516011.8,4360205218.3
201103,36054665750.7,6710384986.8
201104,47968890582.3,10309400087.9
201201,17767333048.2,3542264224.2
201202,41865181325.8,9226923747.6
201203,59918505212.4,12998996777.7
201204,79003584099.8,19825554702.2
201301,15859931248.3,6581701840.2
201302,42416479660.2,11781200000
201303,67292494784.9,22923128833.9
201304,93897441411.8,30373964403.8
201401,23706649007.9,8389698474.3
201402,57775305507.4,15678156045.6
201403,81556080031.2,23391395387.1
201404,108746682801.8,32348602261.9
201501,35195132178.6,9737456066
201502,65984120438.1,20436624120.11
201503,89103866983,27806177044
201504,113866158798.2,36574757539.7
201601,27233282.3,8575086706
201602,61100222.2,16354451400.9
201603,88787248325.9,24169533314.39
