Огноо,Өлгий,Алтай,Улиастай,Тосонцэнгэл,Улаангом,Ховд,Цэцэрлэг,Баянхонгор,Булган,Эрдэнэт,Арвайхээр,Хархорин,Мөрөн,Хатгал,Чойр,Дархан,Сайншанд,Замын-Үүд,Мандалговь,Даланзадгад,Ханбогд,Сүхбаатар,Баруунхараа,Зүүнхараа,Зуунмод,Чойбалсан,Баруун-Урт,Өндөрхаан,Улаанбаатар
200501,8,20,9,,5,3,10,9,9,,14,,5,,,6,20,,20,16,,,5,,9,14,12,12,7
200502,5,14,6,,5,5,14,10,9,,18,,3,,,4,17,,18,16,,,7,,10,16,12,18,12
200503,6,,9,,29,6,7,5,11,,1,,12,,,25,,,5,1,,,16,,5,9,7,15,10
200504,,4,4,,7,,4,,2,,4,,,,,5,1,,,,,,4,,16,2,1,1,5
200505,18,20,28,,16,18,12,14,20,,22,,22,,,9,18,,24,24,,,9,,10,27,18,18,12
200506,14,18,14,,20,22,11,10,24,,16,,22,,,10,24,,25,20,,,14,,16,21,20,16,24
200507,14,12,14,,18,18,22,12,16,,16,,23,,,12,16,,32,24,,,8,,10,26,16,10,9
200508,12,12,14,,10,7,8,12,8,,12,,12,,,6,14,,16,12,,,7,,12,10,12,12,8
200509,18,18,16,,14,20,20,12,14,,12,,18,,,7,18,,25,12,,,7,,14,24,18,9,21
200510,14,16,13,,16,12,12,10,11,,12,,14,,,6,14,,17,10,,,9,,10,11,12,16,9
200511,18,40,9,,14,14,20,14,18,,18,,12,,,7,16,,20,16,,,14,,12,14,16,12,14
200512,14,14,4,,5,16,17,10,7,,14,,14,,,5,14,,21,14,,,5,,10,12,12,12,10
200601,22,24,12,,7,14,18,9,16,,16,,16,,,4,14,,23,16,,,14,,9,9,16,14,10
200602,18,14,12,,5,26,21,14,20,,18,,20,,,10,14,,25,16,,,9,,14,16,18,24,12
200603,18,14,14,,7,20,20,20,18,,20,,16,,,8,24,,26,24,,,12,,12,14,24,24,14
200604,24,20,20,,16,23,24,18,20,,20,,20,,,12,24,,25,18,,,10,,14,16,20,34,20
200605,18,20,24,,14,17,24,12,16,,16,,12,,,24,20,,20,16,,,16,,14,14,20,16,12
200606,23,16,16,,15,27,18,14,28,,14,,11,,,17,12,,24,16,,,8,,10,14,18,14,17
200607,16,14,16,,14,12,14,14,18,,14,,17,,,6,12,,23,12,,,7,,9,14,24,14,20
200608,16,24,34,,12,24,20,10,21,,18,,15,,,6,16,,22,16,,,7,,10,18,16,14,20
200609,16,20,14,,12,14,14,10,19,,14,,19,,,7,14,,18,14,,,8,,12,12,14,14,12
200610,18,26,20,,17,20,15,14,14,,18,,17,,,13,16,,25,18,,,7,,9,15,18,18,18
200611,14,14,5,,6,14,17,14,11,,16,,21,,,7,14,,19,14,,,7,,18,20,12,18,17
200612,14,18,8,,8,8,16,12,14,,14,,17,,,5,14,,15,10,,,7,,8,12,12,14,10
200701,9,18,5,,5,2,13,9,10,,18,,17,,,14,12,,24,18,,,5,,14,14,14,14,15
