"аймгийн нэр","аймгийн төвийн нэр","ID","No","Улаанбаатар","Архангай","Баян-Өлгий","Баянхонгор","Булган","Говь-Алтай","Дорноговь","Дорнод","Дундговь","Завхан","Өвөрхангай","Өмнөговь","Сүхбаатар","Сэлэнгэ","Ховд","Хөвсгөл","Хэнтий","Төв","Увс","Дархан-Уул","Орхон","Говьсүмбэр"
"Улаанбаатар","Улаанбаатар",19,1,0,477,1709,639,336,1037,450,661,275,1023,431,575,565,321,1487,779,338,43,1417,223,373,223
"Архангай","Цэцэрлэг",1,2,477,0,1085,191,282,589,927,1138,752,546,255,634,1042,617,1039,379,815,520,940,519,338,700
"Баян-Өлгий","Өлгий",2,3,1709,1085,0,1070,1367,672,2159,2370,1579,725,1278,1657,2274,1720,222,928,2047,1752,291,1604,1423,1766
"Баянхонгор","Баянхонгор",3,4,639,191,1070,0,473,398,853,1300,509,470,208,500,1204,808,848,570,977,682,1131,862,529,696
"Булган","Булган",4,5,336,282,1367,473,0,871,776,997,611,828,364,743,901,335,1321,348,674,379,1026,240,59,559
"Говь-Алтай","Алтай",5,6,1037,589,672,398,871,0,1286,1698,907,195,606,898,1602,1358,450,585,1375,1080,693,1260,927,1094
"Дорноговь","Сайншанд",8,7,450,927,2159,853,776,1286,0,520,344,1423,645,499,334,771,1937,1229,302,430,1867,673,823,226
"Дорнод","Чойбалсан",9,8,661,1138,2370,1300,997,1698,520,0,736,1684,1092,1031,193,982,2148,1440,323,704,2078,884,1034,439
"Дундговь","Мандалговь",10,9,275,752,1579,509,611,907,344,736,0,979,301,300,664,596,1357,1054,417,232,1692,498,648,187
"Завхан","Улиастай",11,10,1023,546,725,470,828,195,1423,1684,979,0,678,970,1588,1163,503,390,1361,1066,529,1065,884,1246
"Өвөрхангай","Арвайхээр",13,11,431,255,1278,208,364,606,645,1092,301,678,0,379,996,752,1056,634,769,474,1195,654,635,664
"Өмнөговь","Даланзадгад",14,12,575,634,1657,500,743,898,499,1031,300,970,379,0,839,896,1348,1354,717,717,1992,798,948,480
"Сүхбаатар","Баруун-Урт",15,13,565,1042,2274,1204,901,1602,334,193,664,1588,996,839,0,886,2052,1344,227,566,1982,788,938,477
"Сэлэнгэ","Сүхбаатар",16,14,321,617,1720,808,335,1358,771,982,596,1163,752,896,886,0,1808,683,659,407,1361,98,279,544
"Ховд","Ховд",20,15,1487,1039,222,848,1321,450,1937,2148,1357,503,1056,1348,2052,1808,0,893,1825,1530,243,1710,1380,1710
"Хөвсгөл","Мөрөн",21,16,779,379,928,570,348,585,1229,1440,1054,390,634,1354,1344,683,893,0,1117,822,678,588,407,1002
"Хэнтий","Өндөрхаан",22,17,338,815,2047,977,674,1375,302,323,417,1361,769,717,227,659,1825,1117,0,313,1755,561,711,235
"Төв","Зуунмод",17,18,43,520,1752,682,379,1080,430,704,232,1066,474,717,566,407,1530,822,313,0,1460,266,416,204
"Увс","Улаангом",18,19,1417,940,291,1131,1026,693,1867,2078,1692,529,1195,1992,1982,1361,243,678,1755,1460,0,1266,1085,1640
"Дархан-Уул","Дархан",7,20,223,519,1604,862,240,1260,673,884,498,1065,654,798,788,98,1710,588,561,266,1266,0,180,446
"Орхон","Эрдэнэт",12,21,373,338,1423,529,59,927,823,1034,648,884,635,948,938,279,1380,407,711,416,1085,180,0,596
"Говьсүмбэр","Чойр",6,22,223,700,1766,696,559,1094,226,439,187,1246,664,480,477,544,1710,1002,235,204,1640,446,596,0
