ID,MAC_address
118,"38:f9:d3:58:9c:c1,82:3d:29:65:e4:01,82:3d:29:65:e4:00,82:3d:29:65:e4:01,0a:f9:d3:58:9c:c1,06:a6:5b:1e:80:02,06:a6:5b:1e:80:02"
120,"98-E7-43-57-69-D7,D8-12-65-75-87-07,D8-12-65-75-87-08"
106,"FC-01-7C-59-44-6F,FC-01-7C-59-44-70"
127,"98-E7-43-57-69-D7,D8-12-65-75-87-07,D8-12-65-75-87-08"
125,"80-C5-F2-94-B7-D0,80-C5-F2-94-B7-D1"
126,"20-6A-8A-EF-76-4B,9C-2A-70-7E-89-5D,9C-2A-70-7E-89-5E,2E-2A-70-7E-89-5D"
109,"24-EC-99-B5-3A-9E,00-8C-FA-21-9D-D8"
110,"54-AB-3A-9A-1E-17,74-DF-BF-8C-5B-01,74-DF-BF-8C-5B-02"
116,"3C-A8-2A-AF-6A-F8,D8-5D-E2-95-06-1B"
105,"F0-76-1C-FA-51-08,B4-6D-83-CC-E2-69"
123,"24-EC-99-B5-3A-9E,00-8C-FA-21-9D-D8"
122,"FE-01-1F-5B-4F-23,54-BF-64-03-02-14,FC-01-7C-5B-37-E4"
117,"24-EC-99-B5-3A-9E,00-8C-FA-21-9D-D8"
115,"54-AB-3A-00-4F-08,30-52-CB-35-56-69,30-52-CB-35-56-6A"
101,"54-AB-3A-9A-1E-17,74-DF-BF-8C-5B-01,74-DF-BF-8C-5B-02"
119,"5C-80-B6-EF-A3-49,00-4E-01-B8-3E-B2,5E-80-B6-EF-A3-49"
102,"24-EC-99-B5-3A-9E,00-8C-FA-21-9D-D8"
111,"2C-60-0C-6B-87-52,F4-06-69-3A-99-68,F4-06-69-3A-99-6C"
121,"E4-E7-49-65-83-AA,28-3A-4D-8F-1A-95,28-3A-4D-8F-1A-96"
112,"E8-9A-8F-E6-94-7B,60-D8-19-84-E9-D8"
108,"24-EC-99-B5-3A-9E,00-8C-FA-21-9D-D8"
103,18-1D-EA-70-B8-63
100,"50-7B-9D-45-DF-80,DC-53-60-03-BB-8C,DC-53-60-03-BB-90"
113,"24-EC-99-B5-3A-9E,00-8C-FA-21-9D-D8"
104,"24-EC-99-B5-3A-9E,00-8C-FA-21-9D-D8"
107,"24-EC-99-B5-3A-9E,00-8C-FA-21-9D-D8"
124,"F0-76-1C-FC-75-89,B4-6D-83-F1-80-41,B4-6D-83-F1-80-3D"
