"Статистик үзүүлэлт","Аймаг","Аймгийн код","year","value"
"Хохирогч иргэд","Улсын дүн",0,"2017",37173
"Хохирогч иргэд","Баруун бүс",1,"2017",1605
"Хохирогч иргэд","Баян-Өлгий",183,"2017",314
"Хохирогч иргэд","Говь-Алтай",182,"2017",219
"Хохирогч иргэд","Завхан",181,"2017",250
"Хохирогч иргэд","Увс",185,"2017",375
"Хохирогч иргэд","Ховд",184,"2017",447
"Хохирогч иргэд","Хангайн бүс",2,"2017",3659
"Хохирогч иргэд","Архангай",265,"2017",523
"Хохирогч иргэд","Баянхонгор",264,"2017",579
"Хохирогч иргэд","Булган",263,"2017",395
"Хохирогч иргэд","Өвөрхангай",262,"2017",533
"Хохирогч иргэд","Хөвсгөл",267,"2017",722
"Хохирогч иргэд","Орхон",261,"2017",907
"Хохирогч иргэд","Төвийн бүс",3,"2017",3882
"Хохирогч иргэд","Дорноговь",344,"2017",550
"Хохирогч иргэд","Дундговь",348,"2017",225
"Хохирогч иргэд","Өмнөговь",346,"2017",463
"Хохирогч иргэд","Сэлэнгэ",343,"2017",764
"Хохирогч иргэд","Төв",341,"2017",916
"Хохирогч иргэд","Дархан-Уул",345,"2017",772
"Хохирогч иргэд","Говьсүмбэр",342,"2017",192
"Хохирогч иргэд","Зүүн бүс",4,"2017",1411
"Хохирогч иргэд","Дорнод",421,"2017",574
"Хохирогч иргэд","Сүхбаатар",422,"2017",361
"Хохирогч иргэд","Хэнтий",423,"2017",476
"Хохирогч иргэд","Улаанбаатар",5,"2017",26579
"Хохирогч иргэд","Улаанбаатар",511,"2017",26579
"Хохирогч иргэд","Бусад",6,"2017",37
"Нийт учирсан хохирол","Улсын дүн",0,"2017",198073.2
"Нийт учирсан хохирол","Баруун бүс",1,"2017",3059.3
"Нийт учирсан хохирол","Баян-Өлгий",183,"2017",414.7
"Нийт учирсан хохирол","Говь-Алтай",182,"2017",753.2
"Нийт учирсан хохирол","Завхан",181,"2017",558.9
"Нийт учирсан хохирол","Увс",185,"2017",487.9
"Нийт учирсан хохирол","Ховд",184,"2017",844.6
"Нийт учирсан хохирол","Хангайн бүс",2,"2017",8633
"Нийт учирсан хохирол","Архангай",265,"2017",1358
"Нийт учирсан хохирол","Баянхонгор",264,"2017",1051.7
"Нийт учирсан хохирол","Булган",263,"2017",1346.7
"Нийт учирсан хохирол","Өвөрхангай",262,"2017",1084.3
"Нийт учирсан хохирол","Хөвсгөл",267,"2017",2250
"Нийт учирсан хохирол","Орхон",261,"2017",1542.3
"Нийт учирсан хохирол","Төвийн бүс",3,"2017",14022
"Нийт учирсан хохирол","Дорноговь",344,"2017",4422.3
"Нийт учирсан хохирол","Дундговь",348,"2017",553.1
"Нийт учирсан хохирол","Өмнөговь",346,"2017",1120.5
"Нийт учирсан хохирол","Сэлэнгэ",343,"2017",1698.5
"Нийт учирсан хохирол","Төв",341,"2017",3339.8
"Нийт учирсан хохирол","Дархан-Уул",345,"2017",2584.3
"Нийт учирсан хохирол","Говьсүмбэр",342,"2017",303.5
"Нийт учирсан хохирол","Зүүн бүс",4,"2017",5516.5
"Нийт учирсан хохирол","Дорнод",421,"2017",3262.6
"Нийт учирсан хохирол","Сүхбаатар",422,"2017",1194.8
"Нийт учирсан хохирол","Хэнтий",423,"2017",1059.1
"Нийт учирсан хохирол","Улаанбаатар",5,"2017",166748.6
"Нийт учирсан хохирол","Улаанбаатар",511,"2017",166748.6
"Нийт учирсан хохирол","Бусад",6,"2017",94.2
"Нийт нөхөн төлүүлэлт","Улсын дүн",0,"2017",74508.2
"Нийт нөхөн төлүүлэлт","Баруун бүс",1,"2017",1655.2
"Нийт нөхөн төлүүлэлт","Баян-Өлгий",183,"2017",151
"Нийт нөхөн төлүүлэлт","Говь-Алтай",182,"2017",275.2
"Нийт нөхөн төлүүлэлт","Завхан",181,"2017",370
"Нийт нөхөн төлүүлэлт","Увс",185,"2017",368.2
"Нийт нөхөн төлүүлэлт","Ховд",184,"2017",490.8
"Нийт нөхөн төлүүлэлт","Хангайн бүс",2,"2017",4702.5
"Нийт нөхөн төлүүлэлт","Архангай",265,"2017",683.5
"Нийт нөхөн төлүүлэлт","Баянхонгор",264,"2017",539.9
"Нийт нөхөн төлүүлэлт","Булган",263,"2017",758.4
"Нийт нөхөн төлүүлэлт","Өвөрхангай",262,"2017",572.8
"Нийт нөхөн төлүүлэлт","Хөвсгөл",267,"2017",1536.3
"Нийт нөхөн төлүүлэлт","Орхон",261,"2017",611.6
"Нийт нөхөн төлүүлэлт","Төвийн бүс",3,"2017",7888.1
"Нийт нөхөн төлүүлэлт","Дорноговь",344,"2017",2679.8
"Нийт нөхөн төлүүлэлт","Дундговь",348,"2017",332.2
"Нийт нөхөн төлүүлэлт","Өмнөговь",346,"2017",751.5
"Нийт нөхөн төлүүлэлт","Сэлэнгэ",343,"2017",960.4
"Нийт нөхөн төлүүлэлт","Төв",341,"2017",2211.5
"Нийт нөхөн төлүүлэлт","Дархан-Уул",345,"2017",742.4
"Нийт нөхөн төлүүлэлт","Говьсүмбэр",342,"2017",210.3
"Нийт нөхөн төлүүлэлт","Зүүн бүс",4,"2017",1557.7
"Нийт нөхөн төлүүлэлт","Дорнод",421,"2017",512.2
"Нийт нөхөн төлүүлэлт","Сүхбаатар",422,"2017",483.7
"Нийт нөхөн төлүүлэлт","Хэнтий",423,"2017",561.8
"Нийт нөхөн төлүүлэлт","Улаанбаатар",5,"2017",58669.6
"Нийт нөхөн төлүүлэлт","Улаанбаатар",511,"2017",58669.6
"Нийт нөхөн төлүүлэлт","Бусад",6,"2017",35
"Хохирогч иргэд","Улсын дүн",0,"2018",33566
"Хохирогч иргэд","Баруун бүс",1,"2018",1453
"Хохирогч иргэд","Баян-Өлгий",183,"2018",300
"Хохирогч иргэд","Говь-Алтай",182,"2018",209
"Хохирогч иргэд","Завхан",181,"2018",250
"Хохирогч иргэд","Увс",185,"2018",335
"Хохирогч иргэд","Ховд",184,"2018",359
"Хохирогч иргэд","Хангайн бүс",2,"2018",3678
"Хохирогч иргэд","Архангай",265,"2018",527
"Хохирогч иргэд","Баянхонгор",264,"2018",580
"Хохирогч иргэд","Булган",263,"2018",350
"Хохирогч иргэд","Өвөрхангай",262,"2018",674
"Хохирогч иргэд","Хөвсгөл",267,"2018",791
"Хохирогч иргэд","Орхон",261,"2018",756
"Хохирогч иргэд","Төвийн бүс",3,"2018",3579
"Хохирогч иргэд","Дорноговь",344,"2018",408
"Хохирогч иргэд","Дундговь",348,"2018",258
"Хохирогч иргэд","Өмнөговь",346,"2018",434
"Хохирогч иргэд","Сэлэнгэ",343,"2018",718
"Хохирогч иргэд","Төв",341,"2018",765
"Хохирогч иргэд","Дархан-Уул",345,"2018",822
"Хохирогч иргэд","Говьсүмбэр",342,"2018",174
"Хохирогч иргэд","Зүүн бүс",4,"2018",1536
"Хохирогч иргэд","Дорнод",421,"2018",588
"Хохирогч иргэд","Сүхбаатар",422,"2018",347
"Хохирогч иргэд","Хэнтий",423,"2018",601
"Хохирогч иргэд","Улаанбаатар",5,"2018",23290
"Хохирогч иргэд","Улаанбаатар",511,"2018",23290
"Хохирогч иргэд","Бусад",6,"2018",30
"Нийт учирсан хохирол","Улсын дүн",0,"2018",193315.1
"Нийт учирсан хохирол","Баруун бүс",1,"2018",3756.3
"Нийт учирсан хохирол","Баян-Өлгий",183,"2018",532.6
"Нийт учирсан хохирол","Говь-Алтай",182,"2018",497.4
"Нийт учирсан хохирол","Завхан",181,"2018",957.1
"Нийт учирсан хохирол","Увс",185,"2018",1018.5
"Нийт учирсан хохирол","Ховд",184,"2018",750.7
"Нийт учирсан хохирол","Хангайн бүс",2,"2018",8717.3
"Нийт учирсан хохирол","Архангай",265,"2018",1345
"Нийт учирсан хохирол","Баянхонгор",264,"2018",1337
"Нийт учирсан хохирол","Булган",263,"2018",1088.4
"Нийт учирсан хохирол","Өвөрхангай",262,"2018",1182.8
"Нийт учирсан хохирол","Хөвсгөл",267,"2018",2185.6
"Нийт учирсан хохирол","Орхон",261,"2018",1578.5
"Нийт учирсан хохирол","Төвийн бүс",3,"2018",12880.6
"Нийт учирсан хохирол","Дорноговь",344,"2018",2301
"Нийт учирсан хохирол","Дундговь",348,"2018",896.1
"Нийт учирсан хохирол","Өмнөговь",346,"2018",2277.7
"Нийт учирсан хохирол","Сэлэнгэ",343,"2018",1649.8
"Нийт учирсан хохирол","Төв",341,"2018",3226.2
"Нийт учирсан хохирол","Дархан-Уул",345,"2018",1981
"Нийт учирсан хохирол","Говьсүмбэр",342,"2018",548.9
"Нийт учирсан хохирол","Зүүн бүс",4,"2018",5603.2
"Нийт учирсан хохирол","Дорнод",421,"2018",3121.8
"Нийт учирсан хохирол","Сүхбаатар",422,"2018",803.2
"Нийт учирсан хохирол","Хэнтий",423,"2018",1678.2
"Нийт учирсан хохирол","Улаанбаатар",5,"2018",161904.9
"Нийт учирсан хохирол","Улаанбаатар",511,"2018",161904.9
"Нийт учирсан хохирол","Бусад",6,"2018",452.9
"Нийт нөхөн төлүүлэлт","Улсын дүн",0,"2018",32444.1
"Нийт нөхөн төлүүлэлт","Баруун бүс",1,"2018",1553.9
"Нийт нөхөн төлүүлэлт","Баян-Өлгий",183,"2018",328.8
"Нийт нөхөн төлүүлэлт","Говь-Алтай",182,"2018",186.2
"Нийт нөхөн төлүүлэлт","Завхан",181,"2018",408.5
"Нийт нөхөн төлүүлэлт","Увс",185,"2018",369.2
"Нийт нөхөн төлүүлэлт","Ховд",184,"2018",261.3
"Нийт нөхөн төлүүлэлт","Хангайн бүс",2,"2018",3781.7
"Нийт нөхөн төлүүлэлт","Архангай",265,"2018",540.8
"Нийт нөхөн төлүүлэлт","Баянхонгор",264,"2018",596
"Нийт нөхөн төлүүлэлт","Булган",263,"2018",620.2
"Нийт нөхөн төлүүлэлт","Өвөрхангай",262,"2018",435.9
"Нийт нөхөн төлүүлэлт","Хөвсгөл",267,"2018",690.8
"Нийт нөхөн төлүүлэлт","Орхон",261,"2018",898.1
"Нийт нөхөн төлүүлэлт","Төвийн бүс",3,"2018",6235.3
"Нийт нөхөн төлүүлэлт","Дорноговь",344,"2018",728.3
"Нийт нөхөн төлүүлэлт","Дундговь",348,"2018",324.6
"Нийт нөхөн төлүүлэлт","Өмнөговь",346,"2018",846.3
"Нийт нөхөн төлүүлэлт","Сэлэнгэ",343,"2018",860.2
"Нийт нөхөн төлүүлэлт","Төв",341,"2018",2395.9
"Нийт нөхөн төлүүлэлт","Дархан-Уул",345,"2018",789.2
"Нийт нөхөн төлүүлэлт","Говьсүмбэр",342,"2018",290.8
"Нийт нөхөн төлүүлэлт","Зүүн бүс",4,"2018",1793.4
"Нийт нөхөн төлүүлэлт","Дорнод",421,"2018",826
"Нийт нөхөн төлүүлэлт","Сүхбаатар",422,"2018",473.6
"Нийт нөхөн төлүүлэлт","Хэнтий",423,"2018",493.8
"Нийт нөхөн төлүүлэлт","Улаанбаатар",5,"2018",19051.1
"Нийт нөхөн төлүүлэлт","Улаанбаатар",511,"2018",19051.1
"Нийт нөхөн төлүүлэлт","Бусад",6,"2018",28.6
"Хохирогч иргэд","Улсын дүн",0,"2019",30782
"Хохирогч иргэд","Баруун бүс",1,"2019",1602
"Хохирогч иргэд","Баян-Өлгий",183,"2019",312
"Хохирогч иргэд","Говь-Алтай",182,"2019",228
"Хохирогч иргэд","Завхан",181,"2019",247
"Хохирогч иргэд","Увс",185,"2019",334
"Хохирогч иргэд","Ховд",184,"2019",481
"Хохирогч иргэд","Хангайн бүс",2,"2019",3696
