"Үзүүлэлт","year","value"
"Тээсэн ачаа, мянган тонн","1942",148.8
"Ачаа эргэлт, сая тонн километр","1942",6.7
"Тээсэн ачаа, мянган тонн","1943",157.5
"Ачаа эргэлт, сая тонн километр","1943",7.1
"Тээсэн ачаа, мянган тонн","1944",155.8
"Ачаа эргэлт, сая тонн километр","1944",7
"Тээсэн ачаа, мянган тонн","1945",191
"Ачаа эргэлт, сая тонн километр","1945",8.6
"Тээсэн ачаа, мянган тонн","1946",189.2
"Ачаа эргэлт, сая тонн километр","1946",8.5
"Тээсэн ачаа, мянган тонн","1947",191.2
"Ачаа эргэлт, сая тонн километр","1947",8.6
"Тээсэн ачаа, мянган тонн","1948",197.2
"Ачаа эргэлт, сая тонн километр","1948",8.9
"Тээсэн ачаа, мянган тонн","1949",260.2
"Ачаа эргэлт, сая тонн километр","1949",11.7
"Тээсэн ачаа, мянган тонн","1950",270
"Ачаа эргэлт, сая тонн километр","1950",12.2
"Тээсэн ачаа, мянган тонн","1951",851.7
"Ачаа эргэлт, сая тонн километр","1951",177.2
"Зорчигчид, мянган хүн","1951",100
"Зорчигч эргэлт, сая хүн километр","1951",18.7
"Тээсэн ачаа, мянган тонн","1952",565.4
"Ачаа эргэлт, сая тонн километр","1952",150.1
"Зорчигчид, мянган хүн","1952",0
"Зорчигч эргэлт, сая хүн километр","1952",10.2
"Тээсэн ачаа, мянган тонн","1953",678
"Ачаа эргэлт, сая тонн километр","1953",202.2
"Зорчигчид, мянган хүн","1953",100
"Зорчигч эргэлт, сая хүн километр","1953",15.6
"Тээсэн ачаа, мянган тонн","1954",1097.3
"Ачаа эргэлт, сая тонн километр","1954",355.4
"Зорчигчид, мянган хүн","1954",100
"Зорчигч эргэлт, сая хүн километр","1954",21.6
"Тээсэн ачаа, мянган тонн","1955",1119.9
"Ачаа эргэлт, сая тонн километр","1955",329.4
"Зорчигчид, мянган хүн","1955",100
"Зорчигч эргэлт, сая хүн километр","1955",19.1
"Тээсэн ачаа, мянган тонн","1956",3244.3
"Ачаа эргэлт, сая тонн километр","1956",2455
"Зорчигчид, мянган хүн","1956",100
"Зорчигч эргэлт, сая хүн километр","1956",41.8
"Тээсэн ачаа, мянган тонн","1957",3120.6
"Ачаа эргэлт, сая тонн километр","1957",2614.5
"Зорчигчид, мянган хүн","1957",200
"Зорчигч эргэлт, сая хүн километр","1957",43.8
"Тээсэн ачаа, мянган тонн","1958",3453.6
"Ачаа эргэлт, сая тонн километр","1958",2961.2
"Зорчигчид, мянган хүн","1958",200
"Зорчигч эргэлт, сая хүн километр","1958",36.9
"Тээсэн ачаа, мянган тонн","1959",3838.8
"Ачаа эргэлт, сая тонн километр","1959",3049.3
"Зорчигчид, мянган хүн","1959",400
"Зорчигч эргэлт, сая хүн километр","1959",52.6
"Тээсэн ачаа, мянган тонн","1960",3913.2
"Тээсэн ачаа, мянган тонн - дотоодод","1960",774.6
"Тээсэн ачаа, мянган тонн - гаргалт","1960",172.9
"Тээсэн ачаа, мянган тонн - оруулалт","1960",724.5
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1960",2241.2
"Ачаа эргэлт, сая тонн километр","1960",3036.3
"Ачаа эргэлт, сая тонн километр - дотоодын","1960",127
"Ачаа эргэлт, сая тонн километр - гаргалт","1960",46.1
"Ачаа эргэлт, сая тонн километр - оруулалт","1960",375
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1960",2488
"Зорчигчид, мянган хүн","1960",400
"Зорчигч эргэлт, сая хүн километр","1960",56.4
"Тээсэн ачаа, мянган тонн","1961",3152.6
"Ачаа эргэлт, сая тонн километр","1961",2151
"Зорчигчид, мянган хүн","1961",400
"Зорчигч эргэлт, сая хүн километр","1961",73.6
"Тээсэн ачаа, мянган тонн","1962",3195.2
"Ачаа эргэлт, сая тонн километр","1962",1857.4
"Зорчигчид, мянган хүн","1962",500
"Зорчигч эргэлт, сая хүн километр","1962",74.9
"Тээсэн ачаа, мянган тонн","1963",2500.4
"Ачаа эргэлт, сая тонн километр","1963",1317
"Зорчигчид, мянган хүн","1963",400
"Зорчигч эргэлт, сая хүн километр","1963",75.3
"Тээсэн ачаа, мянган тонн","1964",2351.7
"Ачаа эргэлт, сая тонн километр","1964",873.9
"Зорчигчид, мянган хүн","1964",400
"Зорчигч эргэлт, сая хүн километр","1964",73.9
"Тээсэн ачаа, мянган тонн","1965",2375
"Ачаа эргэлт, сая тонн километр","1965",900.3
"Зорчигчид, мянган хүн","1965",400
"Зорчигч эргэлт, сая хүн километр","1965",73.8
"Тээсэн ачаа, мянган тонн","1966",2623.2
"Ачаа эргэлт, сая тонн километр","1966",1030.3
"Зорчигчид, мянган хүн","1966",500
"Зорчигч эргэлт, сая хүн километр","1966",79.6
"Тээсэн ачаа, мянган тонн","1967",3260.8
"Ачаа эргэлт, сая тонн километр","1967",1049.1
"Зорчигчид, мянган хүн","1967",700
"Зорчигч эргэлт, сая хүн километр","1967",84.8
"Тээсэн ачаа, мянган тонн","1968",3368.9
"Ачаа эргэлт, сая тонн километр","1968",1062.1
"Зорчигчид, мянган хүн","1968",600
"Зорчигч эргэлт, сая хүн километр","1968",101.3
"Тээсэн ачаа, мянган тонн","1969",3703.2
"Ачаа эргэлт, сая тонн километр","1969",1151.8
"Зорчигчид, мянган хүн","1969",600
"Зорчигч эргэлт, сая хүн километр","1969",112.6
"Тээсэн ачаа, мянган тонн","1970",4724.6
"Тээсэн ачаа, мянган тонн - дотоодод","1970",2160
"Тээсэн ачаа, мянган тонн - гаргалт","1970",296.4
"Тээсэн ачаа, мянган тонн - оруулалт","1970",2220.2
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","1970",47.8
"Ачаа эргэлт, сая тонн километр","1970",1627.6
"Ачаа эргэлт, сая тонн километр - дотоодын","1970",601.7
"Ачаа эргэлт, сая тонн километр - гаргалт","1970",117.7
"Ачаа эргэлт, сая тонн километр - оруулалт","1970",855.3
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","1970",52.9
"Зорчигчид, мянган хүн","1970",700
"Зорчигч эргэлт, сая хүн километр","1970",135.2
"Тээсэн ачаа, мянган тонн","1971",5191.7
"Ачаа эргэлт, сая тонн километр","1971",1729.6
"Зорчигчид, мянган хүн","1971",900
"Зорчигч эргэлт, сая хүн километр","1971",157.6
"Тээсэн ачаа, мянган тонн","1972",5232.4
"Ачаа эргэлт, сая тонн километр","1972",1834.3
"Зорчигчид, мянган хүн","1972",900
"Зорчигч эргэлт, сая хүн километр","1972",185.2
"Тээсэн ачаа, мянган тонн","1973",6114.6
"Ачаа эргэлт, сая тонн километр","1973",2179.9
"Зорчигчид, мянган хүн","1973",1000
"Зорчигч эргэлт, сая хүн километр","1973",198.9
"Тээсэн ачаа, мянган тонн","1974",6387.7
"Ачаа эргэлт, сая тонн километр","1974",2312.2
"Зорчигчид, мянган хүн","1974",1000
"Зорчигч эргэлт, сая хүн километр","1974",207.5
"Тээсэн ачаа, мянган тонн","1975",6861.7
"Ачаа эргэлт, сая тонн километр","1975",2150.2
"Зорчигчид, мянган хүн","1975",1100
"Зорчигч эргэлт, сая хүн километр","1975",213.4
"Тээсэн ачаа, мянган тонн","1976",8100
"Ачаа эргэлт, сая тонн километр","1976",2717.9
"Зорчигчид, мянган хүн","1976",1200
"Зорчигч эргэлт, сая хүн километр","1976",219.2
"Тээсэн ачаа, мянган тонн","1977",8200
"Ачаа эргэлт, сая тонн километр","1977",2541.5
"Зорчигчид, мянган хүн","1977",1300
"Зорчигч эргэлт, сая хүн километр","1977",226.6
"Тээсэн ачаа, мянган тонн","1978",8600
