ride_id,user_id,started,finished
105,6,1,1
106,6,1,1
107,6,1,1
108,6,1,1
109,6,1,1
110,6,1,1
111,6,1,1
112,6,1,1
113,6,1,1
115,6,1,1
116,6,1,1
118,6,1,1
119,6,1,1
120,6,1,1
121,6,1,1
122,6,1,1
123,6,1,1
124,6,1,1
125,6,1,1
126,6,1,1
127,6,1,1
128,6,1,1
130,6,1,1
131,6,1,1.05
132,6,1,1
133,6,1,0.98
112,20,1,1
114,20,1,1
122,20,1,1
126,20,1,1
140,20,1,1
134,19,1,1
107,52,1,1
108,52,1,1
109,52,1,1
110,52,1,1
111,52,1,1
112,52,1,1
113,52,1,1
114,52,1,1
116,52,1,1
117,52,1,1
119,52,1,1
121,52,1,1
123,52,1,1
127,52,1,1
128,52,1,1
131,52,1,1.05
134,52,1,1
135,52,1,0.59
137,52,1,1
138,52,1,1
140,52,1,1
141,52,1,1
142,52,1,1
143,52,1,0.53
145,52,1,1
146,52,1,1
252,52,1,0.55
106,126,1,1
108,126,1,1
109,126,1,1
110,126,1,1
111,126,1,1
112,126,1,1
113,126,1,1
114,126,1,1
117,126,1,1
121,126,1,1
124,126,1,2.12
126,126,1,1
252,126,1,0.5
106,368,1,1
108,368,1,1
109,368,1,1
110,368,1,1
126,368,1,1
127,368,1,1
141,368,1,1
108,358,1,1
110,358,1,1
126,358,1,1
141,358,1,0.65
106,136,1,1
109,136,1,0.55
110,136,1,1
113,136,1,0.84
134,136,1,1
135,136,1,1.04
138,136,1,1
108,139,1,1
109,139,1,1.06
112,139,1,1
136,139,1,0.57
105,140,1,1
105,24,1,1
106,24,1,1
107,24,1,1
109,24,1,1
111,24,1,1
113,24,1,0.84
114,24,1,1
116,24,1,0.69
118,24,1,1
119,24,1,1
121,24,1,1
122,24,1,1
123,24,1,1
124,24,1,2
126,24,1,1
127,24,1,1
130,24,1,0.34
250,24,1,0.18
131,24,1,1.05
134,24,1,1
136,24,1,1
137,24,1,1
138,24,1,1
139,24,1,0.85
141,24,1,1
142,24,1,1
144,24,1,1
145,24,1,1
146,24,1,1
252,24,1,0.88
106,34,1,0.31
107,34,1,1
108,34,1,1
111,34,1,1
112,34,1,1
113,34,1,1
