"","year","month","city","count"
"1",2021,2,"Өлгий",4
"2",2021,5,"Өлгий",2
"3",2022,12,"Өлгий",1
"4",2023,1,"Өлгий",2
"5",2023,2,"Өлгий",1
"6",2023,3,"Өлгий",1
"7",2023,4,"Өлгий",2
"8",2023,11,"Өлгий",1
"9",2023,12,"Өлгий",3
"10",2024,4,"Өлгий",1
"11",2021,1,"Алтай",1
"12",2021,2,"Алтай",7
"13",2021,4,"Алтай",2
"14",2021,11,"Алтай",3
"15",2022,2,"Алтай",1
"16",2022,3,"Алтай",2
"17",2022,10,"Алтай",1
"18",2022,11,"Алтай",4
"19",2022,12,"Алтай",7
"20",2023,1,"Алтай",10
"21",2023,3,"Алтай",2
"22",2023,4,"Алтай",2
"23",2023,9,"Алтай",3
"24",2023,11,"Алтай",5
"25",2023,12,"Алтай",7
"26",2024,1,"Алтай",7
"27",2024,2,"Алтай",8
"28",2024,4,"Алтай",4
"29",2024,9,"Алтай",1
"30",2024,10,"Алтай",2
"31",2021,1,"Улиастай",2
"32",2021,2,"Улиастай",1
"33",2022,2,"Улиастай",1
"34",2022,3,"Улиастай",1
"35",2022,11,"Улиастай",3
"36",2023,1,"Улиастай",1
"37",2023,4,"Улиастай",2
"38",2023,9,"Улиастай",1
"39",2023,10,"Улиастай",1
"40",2023,11,"Улиастай",4
"41",2023,12,"Улиастай",9
"42",2024,1,"Улиастай",1
"43",2024,2,"Улиастай",4
"44",2024,4,"Улиастай",1
"45",2021,2,"Тосонцэнгэл",1
"46",2021,11,"Тосонцэнгэл",3
"47",2021,12,"Тосонцэнгэл",1
"48",2022,3,"Тосонцэнгэл",2
"49",2022,11,"Тосонцэнгэл",2
"50",2023,1,"Тосонцэнгэл",2
"51",2023,3,"Тосонцэнгэл",1
"52",2023,4,"Тосонцэнгэл",2
"53",2023,9,"Тосонцэнгэл",1
"54",2023,11,"Тосонцэнгэл",8
"55",2023,12,"Тосонцэнгэл",6
"56",2024,1,"Тосонцэнгэл",2
"57",2024,2,"Тосонцэнгэл",3
"58",2024,4,"Тосонцэнгэл",2
"59",2021,2,"Улаангом",1
"60",2022,11,"Улаангом",1
"61",2023,4,"Улаангом",1
"62",2023,12,"Улаангом",2
"63",2023,4,"Ховд",2
"64",2023,12,"Ховд",1
"65",2021,2,"Цэцэрлэг",1
"66",2021,11,"Цэцэрлэг",2
"67",2021,12,"Цэцэрлэг",1
"68",2022,3,"Цэцэрлэг",1
"69",2022,11,"Цэцэрлэг",1
"70",2023,1,"Цэцэрлэг",1
"71",2023,2,"Цэцэрлэг",1
"72",2023,3,"Цэцэрлэг",1
"73",2023,4,"Цэцэрлэг",2
"74",2023,11,"Цэцэрлэг",2
"75",2023,12,"Цэцэрлэг",3
"76",2024,4,"Цэцэрлэг",1
"77",2021,2,"Баянхонгор",2
"78",2021,4,"Баянхонгор",1
"79",2022,2,"Баянхонгор",1
